id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
1631588603985336,192.168.100.201,108.59.164.4,1,1,85,85,1693307688.196024,1693307688.385952
787262487406821,192.168.100.157,192.168.100.255,1,0,243,0,1693308136.403685,1693308136.403685
2194714675335229,192.168.100.201,23.217.110.85,1,0,97,0,1693308059.282685,1693308059.282685
1773704781371547,192.168.100.201,13.107.222.240,1,1,93,154,1693307758.923803,1693307758.962084
1070391001749661,192.168.100.201,13.107.222.240,1,1,93,154,1693307758.923805,1693307758.963652
648470597736832,192.168.100.201,108.59.164.4,1,1,85,85,1693307808.79296,1693307808.985024
1915369991789597,192.168.100.201,10.10.49.129,5,3,357,186,1693307897.547869,1693307897.560867
1916658494417011,142.250.185.46,10.10.39.218,1,0,105,0,1693308087.927859,1693308087.927859
1073285831577180,fe80:0000:0000:0000:d99d:e49f:3373:79f8,ff02:0000:0000:0000:0000:0000:0000:00fb,3,0,306,0,1693308091.904796,1693308094.915675
1355031370700321,192.168.100.201,216.239.38.10,1,1,100,150,1693307778.890401,1693307779.031818
933115275513977,fe80:0000:0000:0000:8da9:9355:2583:5ede,ff02:0000:0000:0000:0000:0000:0001:0003,2,0,168,0,1693308040.528505,1693308040.946358
1779545933570082,192.168.100.201,59.103.236.10,1,1,90,90,1693307707.548898,1693307707.587812
1920395099634982,192.168.100.201,216.239.34.10,1,1,86,102,1693307837.98231,1693307838.141492
1779722035756970,192.168.100.201,204.79.197.1,1,1,87,103,1693307837.753578,1693307837.793086
654328938889943,192.168.100.201,103.55.68.158,1,1,90,90,1693307896.459479,1693307896.48352
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
513960830105231,111.68.102.24,10.10.39.4,8,0,2989,0,1693308084.849551,1693308084.917246
937285679578194,192.168.100.201,59.103.236.10,1,1,90,90,1693307899.45781,1693307899.498677
2063920011712005,192.168.100.201,185.89.219.11,1,1,94,110,1693307684.693765,1693307684.841101
93633839441812,192.168.100.201,204.79.197.1,1,1,87,143,1693307837.796564,1693307837.836148
1362861116607980,10.10.39.166,224.0.0.251,3,0,246,0,1693308091.904684,1693308094.915364
